organism,reattribution_factor,V_glyc_effective,V_resp_effective,flip_uG,rho,baseline_rho,delta_rho_from_baseline,delta_flip_from_baseline,attribution_sensitivity
mammalian,1.0673469387755101,0.41626530612244894,0.0037306122448979595,0.14292585170340677,0.14339363631906654,0.1641025641025641,-0.02070892778349756,-0.019839679358717444,0.019839679358717444
mammalian,1.079591836734694,0.4210408163265307,0.0036816326530612242,0.13895791583166328,0.1399059667490669,0.1641025641025641,-0.02419659735349719,-0.023807615230460932,0.023807615230460932
mammalian,1.0918367346938775,0.42581632653061224,0.00363265306122449,0.1349899799599198,0.13649652528157202,0.1641025641025641,-0.02760603882099208,-0.02777555110220442,0.02777555110220442
mammalian,1.1040816326530611,0.43059183673469387,0.0035836734693877556,0.13300601202404805,0.1331627091331343,0.1641025641025641,-0.030939854969429803,-0.029759519038076165,0.029759519038076165
mammalian,1.116326530612245,0.43536734693877555,0.0035346938775510203,0.12903807615230456,0.12990202971921436,0.1641025641025641,-0.034200534383349745,-0.033727454909819654,0.033727454909819654
mammalian,1.1285714285714286,0.44014285714285717,0.003485714285714286,0.12507014028056107,0.1267121064589419,0.1641025641025641,-0.0373904576436222,-0.03769539078156314,0.03769539078156314
mammalian,1.1408163265306124,0.44491836734693885,0.0034367346938775504,0.12308617234468933,0.12359066097885414,0.1641025641025641,-0.04051190312370996,-0.03967935871743489,0.03967935871743489
mammalian,1.153061224489796,0.44969387755102047,0.003387755102040816,0.11911823647294584,0.12053551168595414,0.1641025641025641,-0.043567052416609964,-0.043647294589178376,0.043647294589178376
mammalian,1.1653061224489796,0.45446938775510204,0.0033387755102040817,0.1171342685370741,0.11754456868292246,0.1641025641025641,-0.046557995419641646,-0.04563126252505012,0.04563126252505012
mammalian,1.1775510204081634,0.4592448979591837,0.0032897959183673465,0.1131663326653306,0.11461582900057768,0.1641025641025641,-0.04948673510198642,-0.04959919839679361,0.04959919839679361
mammalian,1.189795918367347,0.46402040816326534,0.003240816326530612,0.11118236472945897,0.1117473721247306,0.1641025641025641,-0.052355191977833504,-0.05158316633266524,0.05158316633266524
mammalian,1.2020408163265306,0.46879591836734696,0.0031918367346938778,0.10721442885771548,0.10893735579643898,0.1641025641025641,-0.05516520830612512,-0.05555110220440873,0.05555110220440873
mammalian,1.2142857142857144,0.47357142857142864,0.0031428571428571426,0.10523046092184374,0.10618401206636498,0.1641025641025641,-0.057918552036199125,-0.057535070140280475,0.057535070140280475
mammalian,1.226530612244898,0.47834693877551027,0.003093877551020408,0.103246492985972,0.10348564358547718,0.1641025641025641,-0.06061692051708692,-0.05951903807615222,0.05951903807615222
mammalian,1.2387755102040816,0.48312244897959183,0.0030448979591836734,0.0992785571142285,0.10084062011574367,0.1641025641025641,-0.06326194398682043,-0.06348697394789571,0.06348697394789571
mammalian,1.2510204081632654,0.4878979591836735,0.002995918367346938,0.09729458917835676,0.0982473752457439,0.1641025641025641,-0.06585518885682021,-0.06547094188376745,0.06547094188376745
mammalian,1.263265306122449,0.49267346938775514,0.002946938775510204,0.09531062124248502,0.09570440329729504,0.1641025641025641,-0.06839816080526906,-0.0674549098196392,0.0674549098196392
mammalian,1.2755102040816326,0.49744897959183676,0.0028979591836734695,0.09134268537074153,0.0932102564102564,0.1641025641025641,-0.0708923076923077,-0.07142284569138269,0.07142284569138269
mammalian,1.2877551020408164,0.5022244897959184,0.0028489795918367343,0.08935871743486978,0.09076354179365272,0.1641025641025641,-0.07333902230891139,-0.07340681362725443,0.07340681362725443
mammalian,1.3,0.507,0.0028,0.08737474949899804,0.0883629191321499,0.1641025641025641,-0.0757396449704142,-0.07539078156312617,0.07539078156312617
