model,g_avail,J_ATP,J_ATP_glyc,J_ATP_resp,frac_glyc,phi_G,phi_R,phenotype,eps_ratio,organism
Model A (Shen LP),0.06700055183946489,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06750054849498328,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06800054515050169,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06850054180602008,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06900053846153847,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06950053511705687,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07000053177257526,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07050052842809365,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07100052508361206,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07150052173913045,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07200051839464884,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07250051505016723,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07300051170568563,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07350050836120403,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07400050501672242,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.07450050167224082,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
